od_mm,coarse_C,medium_C,fine_C,medium_to_fine_pct
60.0,152.67547239589564,152.67549953836183,152.67550631617635,4.43935945126229e-06
65.0,153.9781472235973,153.97799672538102,153.97795961027546,2.4104167667879362e-05
70.0,152.53028820766622,152.53173192840842,152.53209282644636,0.00023660465889649944
75.0,148.81282394777304,148.82455490981775,148.82747700716197,0.001963412538455097
80.0,142.96151643205272,143.00035293256124,143.01001830575493,0.006758528743783149
90.0,130.71895153846924,130.8444209919538,130.87566025720687,0.02386942323093822
100.0,117.35494121089667,117.60418004019898,117.66640572415245,0.05288313480004499
110.0,104.65226747577304,105.02710528929234,105.12122164529356,0.08953126165028405
120.0,93.60496176883697,94.07215900705015,94.19060012934575,0.12574622322499251
130.0,83.02286196232578,83.53357011561182,83.66530017265514,0.1574488548675135
140.0,74.24390375773464,74.72871823899514,74.85718247524407,0.1716124385143871
145.0,69.85499306482333,70.29616720905368,70.4157375239387,0.16980623805065567
146.0,69.3822756011771,69.81724500177391,69.93549121822569,0.16907898177594313
147.0,68.47198795908426,68.89417163771179,69.00966987760549,0.16736529836839173
148.0,67.5808868681452,67.98939455096527,68.10191810825653,0.1652281762642634
149.0,67.13237144272793,67.53353340044984,67.6444421439959,0.16395839780889743
150.0,66.27007816183945,66.6562814623701,66.76388472541227,0.16116986524184104
